$$Source_Resource,$$Target_Resource,$$Map_Source_ID_Ref_list,$$Map_Target_ID_Ref_list,$$Map_Relationship,$Map_Confidence_Score,$Map_Coverage
A reference to a resource that has the source controls of a mapping.,A reference to a resource that has the target controls of a mapping.,A list of source reference IDs.,A list of target reference IDs.,The relationship type for the mapping entry.,An estimation of the confidence that this mapping is correct and accurate expressed as percentage.,An estimation of the percentage coverage of the targets by the sources.
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-02,au-6 ca-7 ir-4 si-4,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-03,au-6 ca-7 pm-16 ir-4 ir-5 ir-8 si-4,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-04,pm-9 pm-11 pm-18 pm-28 pm-30,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-06,ir-4 pm-15 pm-16 ra-4 ra-10,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-07,pm-16 ra-3 ra-10,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.ae-08,ir-4 ir-8,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.cm-01,ac-2 au-12 ca-7 cm-3 sc-5 sc-7 si-4,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.cm-02,ca-7 pe-3 pe-6 pe-20,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.cm-03,ac-2 au-12 au-13 ca-7 cm-10 cm-11,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.cm-06,ca-7 ps-7 sa-4 sa-9 si-4,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,de.cm-09,ac-4 ac-9 au-12 ca-7 cm-3 cm-6 cm-10 cm-11 sc-34 sc-35 si-4 si-7,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.oc-01,pm-11,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.oc-02,pm-9 pm-18 pm-30 sr-3 sr-5 sr-6 sr-8,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.oc-03,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 pm-28 pt,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.oc-04,pm-8 pm-11 cp-2.8 pm-30.1 ra-9,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.oc-05,pm-11 pm-30 ra-7 sa-9 sr-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.ov-01,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 pm-9 pm-18 pm-30 pm-31 ra-7 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.ov-02,pm-9 pm-19 pm-30 pm-31 ra-7 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.ov-03,pm-4 pm-6 ra-7 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.po-01,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.po-02,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-01,pm-9 ra-7 sr-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-02,pm-9,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-03,pm-3 pm-9 pm-30 ra-7 sa-24 sr-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-04,pm-9 pm-28 pm-30 sr-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-05,pm-9 pm-30,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-06,pm-9 pm-18 pm-28 pm-30 ra-3,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rm-07,pm-9 pm-18 pm-28 pm-30 ra-3,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rr-01,pm-2 pm-19 pm-23 pm-24 pm-29,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rr-02,pm-2 pm-13 pm-19 pm-23 pm-24 pm-29,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rr-03,pm-3,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.rr-04,pm-13 ps-1 ps-7 ps-9,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-01,pm-30 sr-2 sr-3,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-02,sr-2 sr-3 sr-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-03,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 pm-9 pm-18 pm-30 pm-31 sr-2 sr-3 ra-3 ra-7,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-04,ra-9 sa-9 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-05,sa-4 sa-9 sr-3 sr-5 sr-6 sr-10,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-06,sa-4 sa-9 sr-5 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-07,ra-9 sa-4 sa-9 sr-3 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-08,sa-4 sa-9 sr-2 sr-3 sr-8 cp-1 ir-1,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-09,pm-9 pm-19 pm-28 pm-30 pm-31 ra-3 ra-7 sa-4 sa-9 sr-2 sr-3 sr-5 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,gv.sc-10,pm-31 ra-3 ra-5 ra-7 sa-4 sa-9 sr-2 sr-3 sr-5 sr-6,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-01,cm-8 pm-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-02,ac-20 cm-8 pm-5 sa-5 sa-9,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-03,ac-4 ca-3 ca-9 pl-2 pl-8 pm-7,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-04,ac-20 sa-9 sr-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-05,ra-3 ra-9 ra-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-07,cm-12 cm-13 si-12,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.am-08,cm-9 cm-13 ma-2 ma-6 pl-2 pm-22 pm-23 sa-3 sa-4 sa-8 sa-22 si-12 si-18 sr-5 sr-12,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.im-01,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 ca-2 ca-5 ca-7 ca-8 cp-2 ir-4 ir-8 pl-2 ra-3 ra-5 ra-7 sa-8 sa-11 sa-17.6 si-2 si-4 sr-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.im-02,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 ca-2 ca-5 ca-7 ca-8 cp-2 cp-4 ir-3 ir-4 ir-8 pl-2 pm-4 pm-31 ra-3 ra-5 ra-7 sa-8 sa-11 si-2 si-4 sr-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.im-03,ac-1 at-1 au-1 ca-1 cm-1 cp-1 ia-1 ir-1 ma-1 mp-1 pe-1 pl-1 pm-1 ps-1 pt-1 ra-1 sa-1 sc-1 si-1 sr-1 ca-2 ca-5 ca-7 ca-8 cp-2 ir-4 ir-8 pl-2 pm-4 pm-31 ra-3 ra-5 ra-7 sa-4 sa-8 sa-11 si-2 si-4 sr-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.im-04,cp-2 ir-8 pl-2 sr-2,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-01,ca-2 ca-7 ca-8 ra-3 ra-5 sa-11.2 sa-15.7 sa-15.8 si-4 si-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-02,si-5 pm-15 pm-16,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-03,pm-12 pm-16 ra-3 si-5,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-04,pm-9 pm-11 ra-2 ra-3 ra-8 ra-9,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-05,pm-16 ra-2 ra-3 ra-7,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-06,pm-9 pm-18 pm-30 ra-7,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-07,ca-7 cm-3 cm-4,superset-of,100%,
catalogs/NIST_CSF_v2.0/catalog.json,catalogs/NIST_SP-800-53_rev5/catalog.json,id.ra-08,ra-5,superset-of,100%,
